date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2010-04-15,Wheat flour - Retail,KG,cereals and tubers,30.3,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-05-15,Wheat flour - Retail,KG,cereals and tubers,28.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-06-15,Wheat flour - Retail,KG,cereals and tubers,26.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-07-15,Wheat flour - Retail,KG,cereals and tubers,26.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-08-15,Wheat flour - Retail,KG,cereals and tubers,26.88,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-09-15,Wheat flour - Retail,KG,cereals and tubers,28.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-10-15,Wheat flour - Retail,KG,cereals and tubers,29.88,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-11-15,Wheat flour - Retail,KG,cereals and tubers,30.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2010-12-15,Wheat flour - Retail,KG,cereals and tubers,30.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-01-15,Wheat flour - Retail,KG,cereals and tubers,30.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-02-15,Wheat flour - Retail,KG,cereals and tubers,30.88,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-03-15,Wheat flour - Retail,KG,cereals and tubers,31.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-04-15,Wheat flour - Retail,KG,cereals and tubers,31.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-05-15,Wheat flour - Retail,KG,cereals and tubers,30.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-07-15,Wheat flour - Retail,KG,cereals and tubers,30.38,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-08-15,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-09-15,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-10-15,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-11-15,Wheat flour - Retail,KG,cereals and tubers,30.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2011-12-15,Wheat flour - Retail,KG,cereals and tubers,31.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-01-15,Wheat flour - Retail,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-02-15,Wheat flour - Retail,KG,cereals and tubers,32.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-03-15,Wheat flour - Retail,KG,cereals and tubers,32.7,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-04-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-05-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-06-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-07-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-08-15,Wheat flour - Retail,KG,cereals and tubers,33.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-09-15,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-10-15,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-11-15,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2012-12-15,Wheat flour - Retail,KG,cereals and tubers,34.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-01-15,Wheat flour - Retail,KG,cereals and tubers,35.2,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-02-15,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-03-15,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-04-15,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-05-15,Wheat flour - Retail,KG,cereals and tubers,35.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-07-15,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-08-15,Wheat flour - Retail,KG,cereals and tubers,40.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2013-09-15,Wheat flour - Retail,KG,cereals and tubers,40.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-01-15,Wheat flour - Retail,KG,cereals and tubers,47.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-02-15,Wheat flour - Retail,KG,cereals and tubers,47.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-03-15,Wheat flour - Retail,KG,cereals and tubers,47.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-04-15,Wheat flour - Retail,KG,cereals and tubers,47.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-05-15,Wheat flour - Retail,KG,cereals and tubers,44.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-06-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-07-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-08-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-09-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-10-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-11-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2014-12-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-01-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-02-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-03-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-04-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-05-15,Wheat flour - Retail,KG,cereals and tubers,41.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-06-15,Wheat flour - Retail,KG,cereals and tubers,39.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-07-15,Wheat flour - Retail,KG,cereals and tubers,38.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-08-15,Wheat flour - Retail,KG,cereals and tubers,38.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-09-15,Wheat flour - Retail,KG,cereals and tubers,38.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-10-15,Wheat flour - Retail,KG,cereals and tubers,38.2,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
2015-11-15,Wheat flour - Retail,KG,cereals and tubers,39.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,1
