date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2005-03-15,Maize - Wholesale,MT,cereals and tubers,5.4872,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-04-15,Maize - Wholesale,MT,cereals and tubers,5.485,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-05-15,Maize - Wholesale,MT,cereals and tubers,5.4521,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-06-15,Maize - Wholesale,MT,cereals and tubers,5.4432,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-07-15,Maize - Wholesale,MT,cereals and tubers,5.56,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-08-15,Maize - Wholesale,MT,cereals and tubers,5.469,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-09-15,Maize - Wholesale,MT,cereals and tubers,5.3927,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-10-15,Maize - Wholesale,MT,cereals and tubers,5.5255,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-11-15,Maize - Wholesale,MT,cereals and tubers,5.5516,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2005-12-15,Maize - Wholesale,MT,cereals and tubers,5.397,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-01-15,Maize - Wholesale,MT,cereals and tubers,5.335,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-02-15,Maize - Wholesale,MT,cereals and tubers,5.3797,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-03-15,Maize - Wholesale,MT,cereals and tubers,5.4885,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-04-15,Maize - Wholesale,MT,cereals and tubers,6.1932,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-05-15,Maize - Wholesale,MT,cereals and tubers,6.4143,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-06-15,Maize - Wholesale,MT,cereals and tubers,6.4648,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-07-15,Maize - Wholesale,MT,cereals and tubers,6.3434,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-08-15,Maize - Wholesale,MT,cereals and tubers,5.9175,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-09-15,Maize - Wholesale,MT,cereals and tubers,5.9313,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-10-15,Maize - Wholesale,MT,cereals and tubers,6.339,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-11-15,Maize - Wholesale,MT,cereals and tubers,6.3864,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2006-12-15,Maize - Wholesale,MT,cereals and tubers,7.0713,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-01-15,Maize - Wholesale,MT,cereals and tubers,7.4621,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-02-15,Maize - Wholesale,MT,cereals and tubers,8.0578,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-03-15,Maize - Wholesale,MT,cereals and tubers,8.0336,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-04-15,Maize - Wholesale,MT,cereals and tubers,7.8141,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-05-15,Maize - Wholesale,MT,cereals and tubers,7.42,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-06-15,Maize - Wholesale,MT,cereals and tubers,7.3648,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-07-15,Maize - Wholesale,MT,cereals and tubers,7.314,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-08-15,Maize - Wholesale,MT,cereals and tubers,7.145,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-09-15,Maize - Wholesale,MT,cereals and tubers,7.8358,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-10-15,Maize - Wholesale,MT,cereals and tubers,8.3836,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-11-15,Maize - Wholesale,MT,cereals and tubers,8.207,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2007-12-15,Maize - Wholesale,MT,cereals and tubers,8.2338,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-01-15,Maize - Wholesale,MT,cereals and tubers,8.36,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-02-15,Maize - Wholesale,MT,cereals and tubers,8.4,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-03-15,Maize - Wholesale,MT,cereals and tubers,8.97,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-04-15,Maize - Wholesale,MT,cereals and tubers,9.36,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-05-15,Maize - Wholesale,MT,cereals and tubers,9.23,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-06-15,Maize - Wholesale,MT,cereals and tubers,9.47,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-07-15,Maize - Wholesale,MT,cereals and tubers,10.67,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-08-15,Maize - Wholesale,MT,cereals and tubers,10.05,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-09-15,Maize - Wholesale,MT,cereals and tubers,8.95,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-10-15,Maize - Wholesale,MT,cereals and tubers,7.99,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-11-15,Maize - Wholesale,MT,cereals and tubers,7.91,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2008-12-15,Maize - Wholesale,MT,cereals and tubers,6.97,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-01-15,Maize - Wholesale,MT,cereals and tubers,7.34,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-02-15,Maize - Wholesale,MT,cereals and tubers,7.46,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-03-15,Maize - Wholesale,MT,cereals and tubers,7.58,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-04-15,Maize - Wholesale,MT,cereals and tubers,7.55,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-05-15,Maize - Wholesale,MT,cereals and tubers,7.18,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-06-15,Maize - Wholesale,MT,cereals and tubers,7.22,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-07-15,Maize - Wholesale,MT,cereals and tubers,6.33,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-08-15,Maize - Wholesale,MT,cereals and tubers,6.19,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-09-15,Maize - Wholesale,MT,cereals and tubers,6.12,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-10-15,Maize - Wholesale,MT,cereals and tubers,6.25,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2009-11-15,Maize - Wholesale,MT,cereals and tubers,7.04,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
