X,Y
5849123,9038.88
3080845,4670.92
8680232,13243.65
1854572,2787.02
2280933,3427.43
2135161,3171.42
1465569,2168.84
1980476,3003.79
2216575,3452.47
2770731,4366.89
1212404,1905.12
1362450,2137.51
1968954,3144.41
3647423,5845.75
4815053,7637.53
3463217,5359.78
1438107,2198.67
1319642,2033.52
1479812,2293.76
1943703,3006.86
1290705,1983
1647207,2549.95
3603942,5621.37
2952069,4485.21
3325237,4964.89
1513053,2196.49
977041,1425.46
1417686,2068.14
1842806,2641.78
1755862,2511.75
1355129,1972.13
1098727,1636.02
2744849,4157.98
1233917,1847.07
1161590,1779.67
1306020,2013.41
1012554,1558.96
940916,1435.63
589464,910.88
1186929,1838.9
939148,1444.34
1239593,1897.26
1349536,2073.09
1653237,2581.07
1523044,2385.92
6827849,10835.58
1132516,1736.48
1388038,2122.54
4161713,6433.14
945527,1437.23
1079887,1642.96
1293698,1966.07
1540540,2346.43
1092317,1632.17
1563947,2356.03
830703,1242.12
1272204,1929.81
1907247,2899.6
2064221,3146.21
1857915,2800.01
1444642,2202.25
2295942,3509.67
2011288,3079.38
1788548,2722.96
1193137,1803.31
3022795,4557.84
2092924,3168.41
2740120,4110.55
2933289,4381.41
3485991,5286.28
6422298,9552.1
2306755,3313.05
2955856,4332.96
2675495,3920.26
1898811,2738.14
3987646,5746.46
1279451,1805.03
838219,1169.88
1671172,2322.75
1073015,1515.67
1103877,1561.79
727617,1040.72
2043052,2933.15
1672938,2381.46
1765255,2518.52
4919352,7066.2
1513693,2088.58
1129032,1574.65
1340126,1871.67
1296093,1827.19
1671915,2369.22
1517679,2144.39
952450,1341.58
942382,1314.08
1193620,1672.79
1395593,1978.89
2224197,3183.39
1367413,1969.94
1726818,2498.72
2162887,3121.95
2205918,3157.09
2127506,3039.13
3569132,5036.55
6652685,9084
1221969,1580.78
1614154,2100.16
1256759,1635.01
759876,982.7
909771,1166.6
996229,1272.85
746313,952.83
961631,1233.64
1308883,1708.02
1059940,1367.68
851814,1090.57
538746,688.06
3617760,4668.88
1403598,1764.05
839283,1061.75
533212,663.16
414927,517.65
1255021,1573.67
503565,630.23
656213,818.98
580430,721.93
1102178,1354.06
1017447,1244.54
1025503,1241.44
866902,1047.42
728501,870.77
425216,498.73
749376,891.02
839802,1006.49
677057,826.44
646197,790.28
923038,1153.8
804735,997.33
2212399,2759.52
826188,1021.86
502421,621.51
760874,942.51
920060,1141.18
1090370,1354.02
1217621,1497.39
1486818,1846.66
1401882,1726.87
1343432,1636
1205710,1487.76
1616908,1998.63
1993986,2444.39
1738935,2098.12
1474301,1729.5
2220419,2571.17
2170944,2551.58
3411500,3996.57
1976322,2322.63
2008909,2408.65
1306586,1571.34
4703414,5766.07
2405650,2821.05
3058329,3676.04
2170482,2726.12
5272740,6252.64
2758553,3546.48
1948286,2510.17
4614456,5932.76
2063211,2736.84
2026448,2751.99
1497745,2087.7
428310,598.95
2281364,3195.54
8524741,11813.66
3586046,5290.8
3234883,4848.43
2715234,4200.26
1751366,2667.13
2780284,4276.92
6685790,10411.71
2736835,4153.1
3180180,4826.62
3968866,6001.16
3116651,4631.63
2063455,3145.51
4097231,6233.4
6256632,9528.1
9741635,14554.9
2678079,3782.65
1927658,2741
1471713,2041.23
