reefer_mmsi,fishing_mmsi,latitude,longitude,event_start_time,event_end_time,reefer_flag_iso3,fishing_flag_iso3
529844000,412329685,-46.51686690450258,-60.71299829209636,2016-10-02 21:00:00,2016-10-03 01:30:00,KIR,CHN
529844000,412329689,-46.39897599385226,-60.49204510629481,2016-08-26 23:50:00,2016-08-27 03:20:00,KIR,CHN
529844000,412329691,-46.277033920374926,-60.242517502122546,2016-07-09 19:10:00,2016-07-09 22:40:00,KIR,CHN
529844000,412329685,-46.53647480144266,-60.58611573573293,2016-09-08 20:40:00,2016-09-09 00:00:00,KIR,CHN
529844000,412329687,-46.40744114221909,-60.68268930507353,2016-07-15 12:40:00,2016-07-15 17:20:00,KIR,CHN
529844000,412420229,-15.970766430121554,-80.37415993131624,2015-11-08 11:00:00,2015-11-08 16:10:00,KIR,CHN
529844000,412329693,-46.675141017012685,-60.544920010316645,2016-09-30 00:30:00,2016-09-30 05:20:00,KIR,CHN
529844000,412329685,-46.538752047953366,-60.56624519195809,2016-09-08 20:40:00,2016-09-09 07:30:00,KIR,CHN
529844000,412329689,-46.45216026483152,-60.655008422783034,2016-07-13 10:50:00,2016-07-13 17:40:00,KIR,CHN
529844000,412329692,-46.41718596852361,-60.387968302549595,2016-08-23 03:30:00,2016-08-23 06:50:00,KIR,CHN
529844000,412329691,-46.277382173460246,-60.28095270056647,2016-07-09 12:50:00,2016-07-10 02:00:00,KIR,CHN
529844000,412329693,-46.33334373516114,-60.49084488241814,2016-07-22 14:00:00,2016-07-22 23:30:00,KIR,CHN
529844000,412421357,-17.68872001896073,-80.01613456265127,2015-11-07 12:30:00,2015-11-07 15:40:00,KIR,CHN
577161000,412985000,-5.039756218825044,-150.7753396055044,2015-01-10 19:10:00,2015-01-10 22:40:00,VUT,CHN
577161000,412420792,-14.971487481515075,-132.06310747163909,2016-09-23 16:00:00,2016-09-23 19:20:00,VUT,CHN
577161000,412420846,-10.06546217753147,-146.2837323492012,2015-10-22 19:50:00,2015-10-23 08:10:00,VUT,CHN
577161000,412420846,-9.342229733252957,-145.8450274033344,2016-03-21 16:20:00,2016-03-22 04:20:00,VUT,CHN
577161000,412420849,-10.230547015920072,-146.40114432110747,2016-08-28 17:20:00,2016-08-29 03:10:00,VUT,CHN
577161000,412420849,-9.656996464024521,-145.56002624047719,2016-03-26 18:40:00,2016-03-26 22:50:00,VUT,CHN
577161000,412420849,-10.205388528140594,-146.4288815562426,2016-08-28 22:40:00,2016-08-29 03:10:00,VUT,CHN
577161000,412420864,-5.651283489098276,-163.73660280650273,2015-05-20 19:10:00,2015-05-20 22:20:00,VUT,CHN
577161000,412420896,-15.010050561738172,-132.38889493529598,2015-06-10 23:50:00,2015-06-11 07:50:00,VUT,CHN
577161000,412420851,-16.078605028747322,-125.63376005070067,2015-02-02 01:30:00,2015-02-02 09:40:00,VUT,CHN
577161000,412420846,-10.262113691236808,-146.5285561240195,2016-08-29 23:30:00,2016-08-30 05:40:00,VUT,CHN
577161000,412420867,-5.944786627684157,-163.59479825872293,2015-05-21 17:50:00,2015-05-21 21:50:00,VUT,CHN
577161000,412420852,-9.306034813630745,-145.47945544442243,2016-03-20 18:30:00,2016-03-21 00:10:00,VUT,CHN
577161000,412985000,-1.6463316300014603,-151.48813628147107,2015-05-27 16:00:00,2015-05-28 05:00:00,VUT,CHN
577161000,412420867,-5.862796868197213,-163.76936596112125,2015-05-22 06:00:00,2015-05-22 09:30:00,VUT,CHN
577161000,412420792,-14.966913767360733,-132.1532827578024,2016-09-23 22:10:00,2016-09-24 01:20:00,VUT,CHN
577161000,412420906,-15.056074996773997,-133.1515946421059,2016-09-25 14:50:00,2016-09-25 19:10:00,VUT,CHN
577161000,412420906,-15.052772053406818,-133.15983193165957,2016-09-25 14:50:00,2016-09-25 21:50:00,VUT,CHN
577161000,412420864,-5.6334576324562065,-163.76865212502423,2015-05-20 19:10:00,2015-05-21 07:50:00,VUT,CHN
577161000,412420852,-10.382522751638966,-146.35276780670023,2016-08-31 18:00:00,2016-09-01 00:00:00,VUT,CHN
577161000,412420849,-9.654345134468386,-145.55550121805646,2016-03-26 16:00:00,2016-03-26 22:50:00,VUT,CHN
577161000,412420867,-5.906256924262062,-163.67655736407016,2015-05-21 17:50:00,2015-05-22 09:30:00,VUT,CHN
636017709,412420927,-18.166628976017464,-78.6290599554147,2016-11-08 12:30:00,2016-11-08 16:10:00,LBR,CHN
636017709,412421033,-17.737987380262332,-78.70750829391737,2016-11-19 23:10:00,2016-11-20 02:20:00,LBR,CHN
636017709,412371203,-17.978198482364185,-78.67908205719954,2016-12-02 10:30:00,2016-12-03 19:30:00,LBR,CHN
636017709,412420645,-17.42731631470793,-78.80094879291121,2016-11-16 00:00:00,2016-11-16 04:40:00,LBR,CHN
636017709,412420252,-17.552774598877676,-78.73221032284269,2016-11-15 11:50:00,2016-11-15 16:50:00,LBR,CHN
636017709,412420229,-19.705382972239807,-79.24426793001969,2016-12-08 10:40:00,2016-12-08 16:50:00,LBR,CHN
636017709,412420927,-18.379243493938326,-78.68381549720172,2016-11-22 10:40:00,2016-11-22 15:30:00,LBR,CHN
636017709,412421013,-17.676234360729822,-78.85265508098686,2016-11-12 17:50:00,2016-11-13 01:30:00,LBR,CHN
636017709,412420955,-17.692247155247305,-78.89013266651008,2016-11-12 11:50:00,2016-11-12 17:20:00,LBR,CHN
374014000,412420819,-29.848461159378026,-132.238435482984,2016-09-08 00:40:00,2016-09-08 05:20:00,PAN,CHN
374014000,412420817,-15.934692123380875,-129.0425669381527,2016-11-28 14:10:00,2016-11-28 18:20:00,PAN,CHN
374014000,412420814,-29.899049967083187,-132.15557514637703,2016-09-07 19:00:00,2016-09-08 00:20:00,PAN,CHN
374014000,412420817,-29.976489308651928,-131.99281040817175,2016-09-06 14:50:00,2016-09-06 20:20:00,PAN,CHN
374014000,412420237,-19.570411395164847,-120.0916142630872,2016-12-03 20:00:00,2016-12-04 03:00:00,PAN,CHN
374014000,412420818,-15.942044302957997,-129.11170362907674,2016-11-28 18:20:00,2016-11-28 23:10:00,PAN,CHN
